name,rg_label,agent_type,genome_type,is_dna,is_enveloped,is_segmented,is_vector_borne,is_zoonotic,host_breadth,infects_humans,taxonomic_family,ncbi_tax_id,source_count,feature_sources,n_real_features
Adeno-associated virus rh.10,1,Virus,,,1.0,0.0,,1.0,3.0,,,,1,olival,4
Aedes flavivirus,1,Virus,,,1.0,1.0,0.0,1.0,1.0,0.0,,390845.0,2,olival|virushostdb,6
Alongshan virus,3,Virus,,,1.0,1.0,0.0,1.0,7.0,,,2269360.0,1,olival,5
Alphaarterivirus equid,1,Virus,ssRNA+,0.0,1.0,,,,,,Arteriviridae,2499620.0,1,ictv,4
Alphabaculovirus adhonmai,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047348.0,1,ictv,3
Alphabaculovirus agipsilonis,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047352.0,1,ictv,3
Alphabaculovirus agsegetum,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047354.0,1,ictv,3
Alphabaculovirus alteragsegetum,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047355.0,1,ictv,3
Alphabaculovirus alterchofumiferanae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047749.0,1,ictv,3
Alphabaculovirus altermaconfiguratae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048196.0,1,ictv,3
Alphabaculovirus angemmatalis,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047368.0,1,ictv,3
Alphabaculovirus anpernyi,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047366.0,1,ictv,3
Alphabaculovirus aucalifornicae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047383.0,1,ictv,3
Alphabaculovirus bomori,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047695.0,1,ictv,3
Alphabaculovirus busuppressariae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047704.0,1,ictv,3
Alphabaculovirus capomonae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047737.0,1,ictv,3
Alphabaculovirus chofumiferanae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047750.0,1,ictv,3
Alphabaculovirus chomurinanae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047751.0,1,ictv,3
Alphabaculovirus chorosaceanae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047752.0,1,ictv,3
Alphabaculovirus chrincludentis,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3050266.0,1,ictv,3
Alphabaculovirus chrychalcites,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047753.0,1,ictv,3
Alphabaculovirus clabilineatae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047759.0,1,ictv,3
Alphabaculovirus ecobliquae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047815.0,1,ictv,3
Alphabaculovirus eppostvittanae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047825.0,1,ictv,3
Alphabaculovirus eupseudoconspersae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047831.0,1,ictv,3
Alphabaculovirus helarmigerae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3047947.0,1,ictv,3
Alphabaculovirus hycuneae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048149.0,1,ictv,3
Alphabaculovirus lafiscellariae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048172.0,1,ictv,3
Alphabaculovirus leseparatae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048181.0,1,ictv,3
Alphabaculovirus lydisparis,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048188.0,1,ictv,3
Alphabaculovirus lyxylinae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3051419.0,1,ictv,3
Alphabaculovirus mabrassicae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048194.0,1,ictv,3
Alphabaculovirus maconfiguratae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048195.0,1,ictv,3
Alphabaculovirus mavitratae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048197.0,1,ictv,3
Alphabaculovirus orleucostigmae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048237.0,1,ictv,3
Alphabaculovirus orpseudotsugatae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048238.0,1,ictv,3
Alphabaculovirus spexiguae,1,Virus,dsDNA,1.0,,,,,1.0,0.0,Baculoviridae,3051423.0,2,ictv|virushostdb,5
Alphabaculovirus splittoralis,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048336.0,1,ictv,3
Alphabaculovirus spliturae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048338.0,1,ictv,3
Alphabaculovirus spofrugiperdae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048335.0,1,ictv,3
Alphabaculovirus sujujubae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048345.0,1,ictv,3
Alphabaculovirus thorichlaceae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048363.0,1,ictv,3
Alphabaculovirus trini,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048436.0,1,ictv,3
Alphabaculovirus wisignatae,1,Virus,dsDNA,1.0,,,,,,,Baculoviridae,3048450.0,1,ictv,3
Alphacoronavirus porci,1,Virus,ssRNA+,0.0,1.0,0.0,0.0,0.0,1.0,,Coronaviridae,3433789.0,2,ictv|olival,8
Alphacoronavirus suis,1,Virus,ssRNA+,0.0,1.0,0.0,0.0,0.0,1.0,,Coronaviridae,3433814.0,2,ictv|olival,8
Alphainfluenzavirus influenzae (H1N1)pdm09,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae (H1N2)v,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/American wigeon/South Carolina/22-000345-001/2021 (H5N1) IDCDC-RG78A,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Anhui/01/2005(H5N1)-PR8 IDCDC RG6,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Anhui/1/2013(H7N9)-PR8 NIBRG-268,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/Ann Arbor/6/60 cold-adapted (H2N2),2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/Astrakhan/3212/2020 (H5N8) IDCDC-RG71A,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PA(I38M),2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PA(I38T),2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181A,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181B,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X179A,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Chicken/Bangladesh/11rs1984-30/2011(H5N1)-PR8 IDCDC RG36,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Chicken/Hong Kong/G9/97(H9N2)-PR8 NIBRG-91,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/Chicken/Vietnam/NCVD-03/2008(H5N1)-PR8-IDCDC-25a,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Egypt/N03072/2010(H5N1)-PR8-IDCDC-29,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Hong Kong/125/2017(H7N9)-IDCDC-RG56B,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/Hubei/1/2010(H5N1)-PR8-IDCDC-30,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/India/NIV/2006(H5N1)-PR8-IBCDC-RG7,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Indonesia/5/2005(H5N1)-PR8 IDCDC RG2,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N1)-PR8 NIBRG-63,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N3)-PR8 NIBRG-60,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N7)-IBCDC-1,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/NWS/G70c (H1N9),2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/New Jersey/8/1976 H1N1,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934 (H1N1),2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934 (H1N1)-NA(Bov),2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934(H1N1)-PA(I38T),2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Shanghai/2/2013(H7N9)-PR8 IDCDC-RG32A,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/Shanghai/2/2013(H7N9)-PR8 NIBRG-267,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/Sichuan/26221/2014(H5N6)-PR8 IDCDC RG42A,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/Turkey/1/2005(H5N1)-PR8 NIBRG-23,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Turkey/Virginia/4529/2002(H7N2)-PR8-IBCDC-5,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/Vietnam/1194/2004(H5N1)-PR8 NIBRG-14,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/Vietnam/1203/2004(H5N1)-PR8 SJRG-161052,2,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae A/gyrfalcon/Washington/41088-6/2014(H5N8)-PR8 IDCDC-RG43A,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae A/pheasant/New Jersey/1355/1998(H5N2)/PR8-IBCDC-4,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H10N8,3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H11N2,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H11N6,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H12N5,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H13N6,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H14N5,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H15N9,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H1N1 reconstructed 1918 strain,4,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae H1N9,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H2N2,3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H2N3,3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H2N5,3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H3N2,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H3N6,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H3N8 (avian and zoonotic),3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H3N8 (canine),2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H3N8 (equine),2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H3N9,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H4N3,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H4N6,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H5N1,3,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae H5N1 transmissible engineered strain,4,Virus,ssRNA-,0.0,1.0,1.0,0.0,1.0,22.0,,Orthomyxoviridae,,2,ictv|olival,8
Alphainfluenzavirus influenzae H5N2,3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H5N3,3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H5N5,3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H5N6,3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H5N9,3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H6N1,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H6N4,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H6N5,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H7N3,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H7N7,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H7N8,3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H7N9,3,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H8N4,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae H9N2,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphainfluenzavirus influenzae cH6/1N5,2,Virus,ssRNA-,0.0,1.0,,,,,,Orthomyxoviridae,,1,ictv,4
Alphanodavirus nodamuraense,2,Virus,ssRNA+,0.0,0.0,,,,,,Nodaviridae,3426216.0,1,ictv,4
Alphapapillomavirus 1-14,2,Virus,dsDNA,1.0,0.0,0.0,0.0,0.0,1.0,,Papillomaviridae,,2,ictv|olival,8
Alphapolyomavirus nonihominis,2,Virus,dsDNA,1.0,0.0,,,,,,Polyomaviridae,2955297.0,1,ictv,4
Alphapolyomavirus octihominis,2,Virus,dsDNA,1.0,0.0,,,,,,Polyomaviridae,1891727.0,1,ictv,4
Alphapolyomavirus quintihominis,2,Virus,dsDNA,1.0,0.0,,,,,,Polyomaviridae,1891726.0,1,ictv,4
Alpharetrovirus avileu,1,Virus,other,0.0,1.0,,,,,,Retroviridae,3426267.0,1,ictv,4
Alpharetrovirus avimyebla,1,Virus,other,0.0,1.0,,,,,,Retroviridae,3426268.0,1,ictv,4
Alpharetrovirus avimyecyt29,1,Virus,other,0.0,1.0,,,,,,Retroviridae,3426269.0,1,ictv,4
Alpharetrovirus avirousar,2,Virus,other,0.0,1.0,,,,,,Retroviridae,3426270.0,1,ictv,4
Alpharetrovirus avisar10,2,Virus,other,0.0,1.0,,,,,,Retroviridae,3426271.0,1,ictv,4
Alphavirus aura,3,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,2.0,,Togaviridae,3426293.0,2,ictv|olival,8
Alphavirus barmah,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426294.0,1,ictv,4
Alphavirus bebaru,2,Virus,ssRNA+,0.0,1.0,0.0,0.0,0.0,1.0,,Togaviridae,3426295.0,2,ictv|olival,8
Alphavirus cabassou,3,Virus,ssRNA+,0.0,1.0,0.0,0.0,0.0,1.0,,Togaviridae,3426297.0,2,ictv|olival,8
Alphavirus chikungunya,3,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,16.0,,Togaviridae,3426298.0,2,ictv|olival,8
Alphavirus chikungunya 181/clone 25,2,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,16.0,,Togaviridae,,2,ictv|olival,8
Alphavirus eastern,3,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426299.0,1,ictv,4
Alphavirus everglades,3,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,4.0,,Togaviridae,3426301.0,2,ictv|olival,8
Alphavirus fortmorgan,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426302.0,1,ictv,4
Alphavirus getah,2,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,3.0,,Togaviridae,3426303.0,2,ictv|olival,8
Alphavirus highlandsj,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426304.0,1,ictv,4
Alphavirus mayaro,2,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,18.0,,Togaviridae,3426306.0,2,ictv|olival,8
Alphavirus mucambo,3,Virus,ssRNA+,0.0,1.0,0.0,0.0,0.0,4.0,,Togaviridae,3426309.0,2,ictv|olival,8
Alphavirus ndumu,3,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,2.0,,Togaviridae,3426310.0,2,ictv|olival,8
Alphavirus onyong,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426312.0,1,ictv,4
Alphavirus pixuna,3,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,3.0,,Togaviridae,3426313.0,2,ictv|olival,8
Alphavirus rossriver,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426314.0,1,ictv,4
Alphavirus salmon,1,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426315.0,1,ictv,4
Alphavirus semliki,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426317.0,1,ictv,4
Alphavirus sindbis,2,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,10.0,,Togaviridae,3426318.0,2,ictv|olival,8
Alphavirus una,2,Virus,ssRNA+,0.0,1.0,0.0,0.0,1.0,3.0,,Togaviridae,3426321.0,2,ictv|olival,8
Alphavirus venezuelan,3,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426322.0,1,ictv,4
Alphavirus venezuelan TC-83,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,,1,ictv,4
Alphavirus western,3,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426323.0,1,ictv,4
Alphavirus whataroa,2,Virus,ssRNA+,0.0,1.0,,,,,,Togaviridae,3426324.0,1,ictv,4
Amdoparvovirus carnivoran1,1,Virus,ssDNA,1.0,0.0,,,,,,Parvoviridae,3051624.0,1,ictv,4
Aparavirus apisacutum,2,Virus,ssRNA+,0.0,,,,,,,Dicistroviridae,3047346.0,1,ictv,3
Aparavirus tauraense,1,Virus,ssRNA+,0.0,,,,,,,Dicistroviridae,3048357.0,1,ictv,3
Aphthovirus bogeli,1,Virus,ssRNA+,0.0,0.0,,,,,,Picornaviridae,3426398.0,1,ictv,4
Aphthovirus reedi,1,Virus,ssRNA+,0.0,0.0,,,,,,Picornaviridae,3426400.0,1,ictv,4
Aquabirnavirus salmonidae,1,Virus,dsRNA,0.0,,,,,,,Birnaviridae,3048153.0,1,ictv,3
Aransas Bay virus,3,Virus,,,1.0,0.0,0.0,0.0,13.0,,,1428582.0,1,olival,5
Aripo virus,2,Virus,,,1.0,0.0,0.0,0.0,2.0,,,2861005.0,1,olival,5
Arurhavirus inhangapi,3,Virus,ssRNA-,0.0,1.0,,,,,,Rhabdoviridae,2734371.0,1,ictv,4
Arurhavirus xiburema,3,Virus,ssRNA-,0.0,1.0,,,,,,Rhabdoviridae,2734373.0,1,ictv,4
Asfivirus haemorrhagiae (African swine fever virus),1,Virus,dsDNA,1.0,1.0,0.0,0.0,0.0,3.0,,Asfarviridae,,2,ictv|olival,8
Ash River virus,3,Virus,,,1.0,0.0,0.0,1.0,6.0,,,466216.0,1,olival,5
Aurivirus haliotidmalaco1,1,Virus,dsDNA,1.0,1.0,,,,1.0,0.0,Malacoherpesviridae,3416944.0,2,ictv|virushostdb,6
Ausdyk disease virus,2,Virus,,,1.0,0.0,0.0,0.0,11.0,,,,1,olival,5
Avastrovirus galli,2,Virus,ssRNA+,0.0,0.0,,,,,,Astroviridae,3426505.0,1,ictv,4
Avastrovirus intestini,2,Virus,ssRNA+,0.0,0.0,,,,,,Astroviridae,3426506.0,1,ictv,4
